Feature,1010505,1010506,1010507,1010508,1010509,1010510,1010511,1010512,1010513,1010514,1010515,1010516,1010517,1010518,1010519,1010520,1010521,1010522,1013016,1013017,1013018,1013019,1013020,1013021,1013022,1013023,1013024,1013025,1013026,1013027
高度(mm),1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1760,1740,1760,1740,1760,1760,1760,1740,1760,1740,1760
驾驶辅助影像,,,-,,,,,-,-,,,-,,,,,-,-,-,,,,-,-,,-,,,-,-
驱动方式,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5395,5395,5395,5395,5095,5395,5095,5395,5095,5395,5395,5395,5395,5095,5395,5095,5395,5095,5395,5395,5095,5395,5095,5395,5395,5395,5095,5395,5095,5395
长*宽*高(mm),5395×1800×1760,5395×1800×1760,5395×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5395×1800×1760,5395×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5095×1800×1760,5395×1800×1760,5395×1800×1760,5095×1800×1740,5395×1800×1760,5095×1800×1740,5395×1800×1760,5395×1800×1760,5395×1800×1760,5095×1800×1740,5395×1800×1760,5095×1800×1740,5395×1800×1760
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3350,3350,3350,3350,3050,3350,3050,3350,3050,3350,3350,3350,3350,3050,3350,3050,3350,3050,3350,3350,3050,3350,3050,3350,3350,3350,3050,3350,3050,3350
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
